VISUALIZATION PROFILING RESULTS - Sorted by Total Time (cumulative)
================================================================================

         27032146 function calls (26302444 primitive calls) in 30.770 seconds

   Ordered by: cumulative time
   List reduced from 2525 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6370    0.042    0.000    1.259    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/artist.py:784(set_clip_path)
     9593    0.021    0.000    1.241    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/patches.py:307(get_transform)
379340/7691    0.401    0.000    1.149    0.000 /usr/lib/python3.12/copy.py:118(deepcopy)
     3574    0.016    0.000    1.137    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/ticker.py:2228(__call__)
     7968    0.068    0.000    1.129    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/patches.py:800(get_patch_transform)
23073/7691    0.101    0.000    1.124    0.000 /usr/lib/python3.12/copy.py:217(_deepcopy_dict)
     1534    0.015    0.000    1.103    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axes/_base.py:2484(add_patch)
     2528    0.019    0.000    1.063    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:946(set_tick_params)
       48    0.007    0.000    1.006    0.021 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axes/_axes.py:6823(hist)
3570/3012    0.009    0.000    0.985    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axes/_base.py:73(wrapper)
     3574    0.016    0.000    0.976    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/ticker.py:2232(tick_values)
   165087    0.317    0.000    0.966    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
      694    0.005    0.000    0.945    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axes/_base.py:3318(grid)
     1295    0.007    0.000    0.940    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:1696(grid)
1219318/1211421    0.475    0.000    0.926    0.000 {built-in method builtins.getattr}
