METRICS PROFILING RESULTS - Sorted by Total Time (cumulative)
================================================================================

         1645824 function calls (1598299 primitive calls) in 2.390 seconds

   Ordered by: cumulative time
   List reduced from 962 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    281/2    0.011    0.000    0.066    0.033 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/text.py:358(_get_layout)
       35    0.001    0.000    0.064    0.002 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/spines.py:142(get_window_extent)
     5280    0.004    0.000    0.062    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/font_manager.py:961(copy)
     1415    0.005    0.000    0.062    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/font_manager.py:1363(_find_fonts_by_props)
    56151    0.028    0.000    0.062    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/__init__.py:781(__getitem__)
      105    0.002    0.000    0.059    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:1527(get_minorticklocs)
      455    0.003    0.000    0.056    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/artist.py:784(set_clip_path)
      945    0.004    0.000    0.056    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/text.py:194(update)
     6435    0.015    0.000    0.052    0.000 /usr/lib/python3.12/copy.py:247(_reconstruct)
       70    0.001    0.000    0.047    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:845(clear)
      105    0.000    0.000    0.045    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:1523(get_majorticklocs)
     1485    0.009    0.000    0.045    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/font_manager.py:1293(findfont)
      455    0.001    0.000    0.045    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/patches.py:307(get_transform)
    62500    0.028    0.000    0.043    0.000 {built-in method builtins.getattr}
    140/3    0.001    0.000    0.042    0.014 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/text.py:73(_get_text_metrics_with_cache_impl)
      210    0.004    0.000    0.042    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:2810(get_tick_space)
     1050    0.002    0.000    0.041    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/text.py:1316(set_fontproperties)
    140/3    0.663    0.005    0.041    0.014 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:206(get_text_width_height_descent)
      140    0.000    0.000    0.038    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:234(set_clip_path)
       35    0.001    0.000    0.038    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axes/_base.py:864(_init_axis)



================================================================================
METRICS PROFILING RESULTS - Sorted by Function Time (self)
================================================================================

         1645824 function calls (1598299 primitive calls) in 2.390 seconds

   Ordered by: internal time
   List reduced from 962 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    140/3    0.663    0.005    0.041    0.014 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:206(get_text_width_height_descent)
    12600    0.124    0.000    0.142    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/cbook.py:348(process)
     1415    0.097    0.000    0.097    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:248(_prepare_font)
     5390    0.035    0.000    0.266    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/artist.py:1188(_update_props)
     9170    0.033    0.000    0.033    0.000 {method 'reduce' of 'numpy.ufunc' objects}
25900/525    0.032    0.000    0.086    0.000 /usr/lib/python3.12/copy.py:118(deepcopy)
       35    0.029    0.001    0.032    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:63(__init__)
    62500    0.028    0.000    0.043    0.000 {built-in method builtins.getattr}
