PROFILING RESULTS - Sorted by Total Time (cumulative)
================================================================================

         50025960 function calls (49158753 primitive calls) in 40.345 seconds

   Ordered by: cumulative time
   List reduced from 2736 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
256032/170700    0.100    0.000    1.673    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/utils/_tags.py:298(get_tags)
     1494    0.017    0.000    1.587    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:367(__init__)
49042/47542    0.024    0.000    1.577    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/artist.py:1226(_internal_update)
284440/199108    0.249    0.000    1.552    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/base.py:515(__sklearn_tags__)
    10347    0.174    0.000    1.379    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/lines.py:301(__init__)
    28444    0.353    0.000    1.352    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/joblib/parallel.py:1212(__init__)
356687/354971    0.176    0.000    1.342    0.000 {built-in method builtins.next}
   142238    0.682    0.000    1.317    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/utils/validation.py:1632(_is_fitted)
   113776    0.073    0.000    1.274    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/utils/parallel.py:74(<genexpr>)
      522    0.002    0.000    1.262    0.002 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:1115(set_clip_path)
      186    0.019    0.000    1.224    0.007 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axes/_axes.py:2374(bar)



================================================================================
PROFILING RESULTS - Sorted by Function Time (self)
================================================================================

         50025960 function calls (49158753 primitive calls) in 40.345 seconds

   Ordered by: internal time
   List reduced from 2736 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1277/3    1.535    0.001    0.109    0.036 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:206(get_text_width_height_descent)
   366237    1.035    0.000    1.035    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    85332    0.946    0.000    2.904    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/tree/_classes.py:1032(predict_proba)
3208942/3201922    0.733    0.000    1.060    0.000 {built-in method builtins.getattr}
       51    0.727    0.014   19.107    0.375 /home/rafael/gitgud/CounterFactualDPG/CounterFactualModel.py:345(genetic_algorithm)
   142238    0.682    0.000    1.317    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/utils/validation.py:1632(_is_fitted)
    36036    0.667    0.000    0.982    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:1689(svd)
    36036    0.611    0.000    2.192    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:2178(pinv)
    28444    0.510    0.000   15.439    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/ensemble/_forest.py:921(predict_proba)
2176319/2176028    0.510    0.000    0.834    0.000 {built-in method builtins.isinstance}
   298365    0.508    0.000    0.555    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/_api/__init__.py:100(check_in_list)
    85332    0.466    0.000    5.081    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/utils/parallel.py:131(__call__)
      123    0.435    0.004    0.445    0.004 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:63(__init__)
    31750    0.426    0.000    0.439    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/cbook.py:259(__init__)
  3271908    0.417    0.000    0.417    0.000 {method 'endswith' of 'str' objects}
2041099/2040883    0.407    0.000    0.509    0.000 {built-in method builtins.hasattr}
   284476    0.399    0.000    0.658    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/base.py:454(__sklearn_tags__)
   170664    0.392    0.000    0.735    0.000 /usr/lib/python3.12/functools.py:35(update_wrapper)
   170676    0.383    0.000    0.591    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/_config.py:63(set_config)
    28465    0.378    0.000    2.649    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/utils/validation.py:734(check_array)
   205907    0.361    0.000    0.361    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/transforms.py:109(__init__)
    41744    0.357    0.000    0.404    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
    28444    0.353    0.000    1.352    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/joblib/parallel.py:1212(__init__)
   198538    0.325    0.000    1.004    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
347868/7053    0.316    0.000    0.763    0.000 /usr/lib/python3.12/copy.py:118(deepcopy)
59849/57989    0.304    0.000    1.824    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/artist.py:1188(_update_props)
       36    0.302    0.008    2.978    0.083 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/seaborn/algorithms.py:6(bootstrap)
    57531    0.297    0.000    0.307    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/transforms.py:180(set_children)
