technique,perc_valid_cf_all ↑,distance_mh ↓,perc_actionable_cf_all ↑,plausibility_nbr_cf ↓,runtime ↓,count_diversity_all ↑,avg_nbr_changes ↓,accuracy_knn_sklearn ↑,Link
dice,1.0,31.98325924075924,1.0,0.0,0.4592702388763428,0.32666666666666666,0.8222222222222222,1.0,https://wandb.ai/mllab-ts-universit-di-trieste/CounterFactualDPG/runs/8jakxbn2
dpg,1.0,30.335201039019314,1.0,14.087326659321237,82.68987438944168,0.4,1.0,0.9,https://wandb.ai/mllab-ts-universit-di-trieste/CounterFactualDPG/runs/37orsn40
