technique,perc_valid_cf_all ↑,distance_mh ↓,perc_actionable_cf_all ↑,plausibility_nbr_cf ↓,runtime ↓,count_diversity_all ↑,avg_nbr_changes ↓,accuracy_knn_sklearn ↑,Link
dice,1.0,8.443318759936407,1.0,1.0169521829521826,1.1924114227294922,0.25142857142857145,0.6285714285714286,1.0,https://wandb.ai/mllab-ts-universit-di-trieste/CounterFactualDPG/runs/z54voy0h
dpg,1.0,8.14195908247982,1.0,2.959991460262015,5.506705563166179,0.2742857142857143,0.8,0.9,https://wandb.ai/mllab-ts-universit-di-trieste/CounterFactualDPG/runs/7qhvgip4
