technique,perc_valid_cf_all ↑,distance_mh ↓,perc_actionable_cf_all ↑,plausibility_nbr_cf ↓,runtime ↓,count_diversity_all ↑,avg_nbr_changes ↓,accuracy_knn_sklearn ↑,Link
dice,1.0,512.9131236154144,1.0,0.0,4.577476739883423,0.3526094003241491,0.880388978930308,0.6,https://wandb.ai/mllab-ts-universit-di-trieste/CounterFactualDPG/runs/qhs0dbd7
dpg,1.0,517.4483999513752,1.0,699.2364363789973,112.24190340039786,0.16576985413290113,0.5251215559157212,0.5,https://wandb.ai/mllab-ts-universit-di-trieste/CounterFactualDPG/runs/moyr62mk
