Dataset,accuracy_knn_sklearn,avg_nbr_changes,count_diversity_all,distance_mh,perc_actionable_cf_all,perc_valid_cf_all,plausibility_nbr_cf,runtime
abalone,-0.5,-0.05999999999999994,-0.016000000000000014,0.2776999999999994,0.0,0.0,4.8768,7.7069
bank_marketing,-0.5,0.10000000000000003,0.144,-1.8664000000000023,0.0,0.0,27.9422,66.8368
customer_personality_analysis,0.0,-0.06429999999999997,0.0,-32.3445,0.0,0.0,24.764499999999998,18.999799999999997
diabetes,-0.20000000000000007,0.0,0.034999999999999976,-7.0954999999999995,0.0,0.0,0.30430000000000046,4.0495
ecoli,-0.09999999999999998,0.1714,0.022899999999999976,-0.30130000000000123,0.0,0.0,1.943,4.3143
education_dataset,-0.09999999999999998,-0.06669999999999998,0.0,0.37159999999999993,0.0,0.0,0.2672,29.985999999999997
energy_dataset,0.5,-0.13329999999999997,-0.16000000000000003,-0.4321999999999999,0.0,0.0,0.3869,7.7345999999999995
healthcare_dataset_stroke,0.4,-0.3636,-0.12719999999999998,-3.6331000000000007,0.0,0.0,0.0,-202.5028
iris,0.0,-0.19999999999999996,-0.10000000000000003,-0.6521999999999997,0.0,0.0,-1.7437000000000002,3.2957
isolet,-0.09999999999999998,-0.35529999999999995,-0.18680000000000002,4.5353000000000065,0.0,0.0,699.2364,107.6644
libras_move,0.0,-0.5156000000000001,-0.21459999999999999,-19.451499999999996,0.0,0.0,102.3214,-47.0732
mammography,-0.5,-0.06669999999999998,0.006700000000000039,4.886999999999999,0.0,0.0,5.219099999999999,49.6052
satimage,-0.09999999999999998,0.17779999999999996,0.07330000000000003,-1.6480999999999995,0.0,0.0,14.0873,82.2306
scene,-0.5,-0.16669999999999996,-0.17609999999999998,22.782600000000002,0.0,0.0,741.5938,-79.86760000000001
us_crime,-0.19999999999999996,-0.19399999999999995,-0.12159999999999999,-0.707000000000022,0.0,0.0,167.3815,14.0943
yeast_ml8,0.0,-0.24270000000000003,-0.2373,-348.29769999999996,0.0,0.0,0.0,-5.565
